Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,World,WLD,..,..,11.1804130761866,10.5202862090837,9.2270643401737,6.6964464815292,6.96285142084588,5.78664110014974,5.23855661296779,6.336812877543,6.25592220054012,5.96612871998711,6.34527116108586,6.46888814354296,6.78415084497757,7.35580234414193,8.0597038078888,8.1977014130248,7.76935347951727,6.98685730137595,7.55899845407682,7.45078670636101,7.4902687403198
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,
