Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,World,WLD,48388557167110.9,49368620392265.3,50505499243552.3,52073329170330.5,54400621045246.6,56579836978678.9,59093561843411.6,61677886808801.6,62949990715747.7,62096526015584.4,64909216709023.8,67068832481271.5,68885804388550.4,70861602283288.8,73075226555102.3,75359657218242.5,77485219519915.8,80166393396326.8,82801152494085.7,84988938153813.9,82497025649488.3,87661216769258.7,90369604265987.2,92827055067884.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
